worker_id,production_id,gender,age_group,experience_years,migration_background,caring_responsibilities,role,seniority,contract_type,production_type,is_debut,funding_type,employer_size_proxy,country,n_employers_per_year,working_days,daily_rate,total_pay,fte_equivalent_pay,includes_variable_pay,pay_definition_harmonized
W0007,P034,male,26-35,6.0,national,False,screenwriter,mid,freelance_cache,advertising,False,public,micro,FR,4.0,18,448.3,8069.4,98626.0,False,False
W0008,P063,male,46-55,,national,False,sound_technician,mid,freelance_cache,feature_film,False,mixed,large,RO,4.0,34,312.73,10632.82,68800.6,False,True
W0008,P065,male,46-55,17.0,national,False,sound_technician,mid,fixed_term,advertising,False,private,micro,DE,2.0,12,337.25,4047.0,74195.0,False,True
W0008,P059,male,46-55,17.0,national,False,sound_technician,senior,freelance_cache,short_film,False,private,medium,IT,2.0,8,403.21,3225.68,88706.2,True,False
W0009,P058,male,36-45,19.0,national,False,sound_technician,junior,freelance_cache,feature_film,False,private,micro,DE,,46,243.82,11215.72,,False,True
W0010,P044,female,46-55,19.0,national,False,director,lead,freelance_cache,documentary,True,private,small,DE,,46,738.9,33989.4,162558.0,False,False
W0010,P029,female,46-55,19.0,national,False,screenwriter,lead,freelance_cache,documentary,False,public,medium,BE,5.0,40,611.29,,,False,True
W0010,P065,female,46-55,19.0,national,False,screenwriter,mid,freelance_cache,advertising,False,private,micro,DE,4.0,9,,2567.88,,False,True
W0010,P038,female,46-55,19.0,national,False,screenwriter,senior,freelance_cache,short_film,False,mixed,micro,PT,4.0,5,401.43,2007.15,88314.6,False,True
W0010,P015,female,46-55,19.0,national,False,screenwriter,mid,freelance_cache,advertising,False,private,small,SE,,5,,,75006.8,False,False
W0011,P029,male,36-45,,national,False,director,lead,permanent,documentary,False,public,medium,BE,1.0,24,912.24,21893.76,200692.8,False,False
W0012,P036,male,46-55,17.0,national,False,editor,senior,fixed_term,feature_film,True,public,micro,FR,5.0,68,425.26,28917.68,93557.2,False,True
W0012,P013,male,46-55,17.0,national,False,editor,senior,freelance_cache,advertising,False,private,micro,DE,5.0,16,,6189.28,85102.6,False,False
W0012,P052,male,46-55,17.0,national,False,editor,junior,fixed_term,documentary,False,mixed,medium,NL,4.0,48,263.14,12630.72,57890.8,False,True
W0012,P061,male,46-55,17.0,national,False,producer,lead,fixed_term,tv_series,True,public,small,ES,5.0,55,910.93,50101.15,200404.6,True,False
W0013,P035,female,18-25,1.0,national,False,editor,junior,freelance_cache,advertising,False,private,large,PT,3.0,15,266.45,3996.75,58619.0,False,True
W0013,P010,female,18-25,1.0,national,False,editor,senior,freelance_cache,documentary,False,private,micro,FR,4.0,53,,18839.91,,False,True
W0013,P040,female,18-25,1.0,national,False,editor,junior,fixed_term,short_film,False,public,medium,DE,4.0,23,,5646.5,54010.0,True,True
W0013,P063,female,18-25,1.0,national,False,editor,mid,freelance_cache,feature_film,False,mixed,large,RO,4.0,38,,12199.52,,True,True
W0014,P025,female,18-25,2.0,national,False,art_technician,junior,permanent,feature_film,False,private,micro,SE,1.0,57,228.74,13038.18,50322.8,False,False
W0015,P055,male,46-55,30.0,national,False,sound_technician,mid,fixed_term,tv_series,False,private,small,BE,4.0,21,267.83,5624.43,58922.6,False,False
W0015,P035,male,46-55,30.0,national,False,sound_technician,senior,fixed_term,advertising,False,private,large,PT,6.0,3,,1169.07,85731.8,False,False
W0015,P024,male,46-55,30.0,national,False,sound_technician,mid,freelance_cache,documentary,True,private,large,RO,3.0,60,317.81,19068.6,69918.2,False,False
W0015,P001,male,46-55,30.0,national,False,sound_technician,senior,fixed_term,short_film,False,mixed,small,ES,3.0,5,330.38,1651.9,,False,True
W0016,P009,female,26-35,7.0,national,False,cinematographer,lead,fixed_term,advertising,False,private,large,FR,2.0,17,576.37,9798.29,126801.4,False,False
W0017,P047,male,26-35,6.0,national,False,cinematographer,mid,intermittent,tv_series,False,private,medium,DE,4.0,79,477.58,37728.82,105067.6,False,False
W0017,P033,male,26-35,,national,False,cinematographer,lead,fixed_term,documentary,True,public,small,NL,3.0,32,865.55,27697.6,190421.0,True,True
W0018,P030,male,26-35,8.0,national,False,screenwriter,mid,freelance_cache,short_film,False,mixed,micro,PT,5.0,14,362.08,5069.12,79657.6,False,True
W0018,P013,male,26-35,8.0,national,False,screenwriter,lead,fixed_term,advertising,False,private,micro,DE,,16,534.42,8550.72,,True,True
W0018,P045,male,26-35,8.0,national,False,screenwriter,junior,freelance_cache,feature_film,False,private,small,SE,7.0,85,,23390.3,60539.6,False,False
W0018,P012,male,26-35,8.0,national,False,producer,junior,freelance_cache,tv_series,False,public,micro,NL,,70,566.04,39622.8,124528.8,False,True
W0018,P043,male,26-35,8.0,national,False,screenwriter,junior,fixed_term,tv_series,False,mixed,small,ES,4.0,66,327.21,21595.86,71986.2,True,True
W0019,P058,male,36-45,13.0,non_EU,False,art_technician,junior,fixed_term,feature_film,False,private,micro,DE,4.0,50,235.68,11784.0,51849.6,False,False
W0019,P017,male,36-45,13.0,non_EU,False,art_technician,mid,freelance_cache,tv_series,False,private,micro,ES,4.0,50,,14783.0,65045.2,False,False
W0019,P028,male,36-45,13.0,non_EU,False,art_technician,senior,fixed_term,documentary,True,mixed,micro,DE,5.0,34,325.34,,71574.8,True,False
W0019,P025,male,36-45,,non_EU,False,art_technician,senior,permanent,feature_film,False,private,micro,SE,6.0,76,343.91,26137.16,75660.2,False,True
W0019,P012,male,36-45,13.0,non_EU,False,art_technician,mid,fixed_term,tv_series,False,public,micro,NL,7.0,72,304.39,21916.08,66965.8,False,True
W0020,P056,male,26-35,4.0,national,False,screenwriter,lead,fixed_term,short_film,False,private,small,FR,2.0,20,611.69,12233.8,134571.8,False,True
W0020,P026,male,26-35,4.0,national,False,sound_technician,junior,fixed_term,advertising,False,public,medium,FR,3.0,13,258.47,3360.11,,False,True
W0021,P061,female,26-35,9.0,national,False,editor,junior,freelance_cache,tv_series,True,public,small,ES,,28,,,,False,False
W0021,P041,female,26-35,9.0,national,False,editor,senior,permanent,tv_series,False,public,micro,PL,6.0,27,365.97,9881.19,80513.4,False,True
W0021,P051,female,26-35,9.0,national,False,editor,senior,fixed_term,documentary,True,mixed,micro,FR,5.0,38,,14387.94,83298.6,False,True
W0021,P001,female,26-35,9.0,national,False,editor,senior,freelance_cache,short_film,False,mixed,small,ES,7.0,11,,,84257.8,True,False
W0021,P033,female,26-35,9.0,national,False,editor,lead,fixed_term,documentary,True,public,small,NL,5.0,35,646.08,22612.8,,False,False
W0022,P030,male,36-45,15.0,national,False,screenwriter,senior,permanent,short_film,False,mixed,micro,PT,4.0,17,493.27,8385.59,108519.4,False,False
W0022,P023,male,36-45,15.0,national,False,sound_technician,lead,freelance_cache,feature_film,False,mixed,small,IT,7.0,54,444.02,23977.08,97684.4,False,True
W0022,P020,male,36-45,15.0,national,False,sound_technician,mid,permanent,tv_series,False,private,small,FR,5.0,48,311.14,14934.72,68450.8,False,True
W0022,P021,male,36-45,15.0,national,False,sound_technician,senior,fixed_term,tv_series,False,public,micro,FR,5.0,34,357.79,12164.86,78713.8,False,True
W0022,P044,male,36-45,15.0,national,False,sound_technician,lead,freelance_cache,documentary,True,private,small,DE,7.0,20,,9383.4,103217.4,True,True
W0023,P035,female,36-45,,national,False,composer,junior,freelance_cache,advertising,False,private,large,PT,5.0,4,304.19,1216.76,66921.8,False,False
W0023,P062,female,36-45,,national,False,composer,senior,freelance_cache,documentary,False,private,micro,BE,,43,416.96,17929.28,91731.2,True,True
W0023,P044,female,36-45,18.0,national,False,composer,mid,fixed_term,documentary,True,private,small,DE,5.0,24,351.31,8431.44,77288.2,False,True
W0023,P065,female,36-45,18.0,national,False,sound_technician,junior,fixed_term,advertising,False,private,micro,DE,3.0,4,250.64,1002.56,55140.8,False,True
W0024,P020,female,36-45,8.0,national,False,cinematographer,junior,freelance_cache,tv_series,False,private,small,FR,1.0,57,,,74496.4,False,False
W0025,P050,male,36-45,11.0,non_EU,False,composer,mid,fixed_term,feature_film,False,private,large,NL,3.0,58,495.94,28764.52,109106.8,True,True
W0025,P021,male,36-45,11.0,non_EU,False,director,mid,fixed_term,tv_series,False,public,micro,FR,1.0,74,649.61,48071.14,142914.2,True,True
W0026,P052,female,36-45,8.0,national,False,sound_technician,mid,fixed_term,documentary,False,mixed,medium,NL,4.0,28,195.3,5468.4,42966.0,False,True
W0026,P048,female,36-45,8.0,national,False,sound_technician,mid,freelance_cache,tv_series,False,private,medium,ES,4.0,29,,8985.07,68162.6,True,True
W0026,P032,female,36-45,8.0,national,False,sound_technician,lead,fixed_term,tv_series,False,private,small,DE,5.0,53,,18052.86,74936.4,True,True
W0026,P041,female,36-45,8.0,national,False,sound_technician,mid,freelance_cache,tv_series,False,public,micro,PL,3.0,20,,,77169.4,False,True
W0027,P002,male,26-35,10.0,national,False,editor,senior,freelance_cache,advertising,False,private,micro,IT,6.0,12,439.79,5277.48,96753.8,False,True
W0027,P004,male,26-35,10.0,national,False,editor,mid,intermittent,documentary,False,private,large,IT,7.0,53,377.86,20026.58,83129.2,False,True
W0027,P019,male,26-35,10.0,national,False,editor,mid,freelance_cache,feature_film,False,private,micro,PL,7.0,55,,22290.4,,False,True
W0027,P056,male,26-35,10.0,national,False,editor,lead,freelance_cache,short_film,False,private,small,FR,4.0,12,530.85,,116787.0,False,False
W0027,P036,male,26-35,10.0,national,False,editor,junior,permanent,feature_film,True,public,micro,FR,5.0,44,290.44,12779.36,,False,True
W0028,P039,male,46-55,20.0,national,False,director,senior,intermittent,feature_film,False,private,small,PT,5.0,89,704.07,62662.23,154895.4,True,True
W0028,P046,male,46-55,20.0,national,False,director,senior,freelance_cache,feature_film,False,private,small,NL,7.0,58,666.75,38671.5,146685.0,True,True
W0028,P005,male,46-55,20.0,national,False,director,mid,intermittent,advertising,False,private,small,ES,6.0,12,558.12,,122786.4,True,True
W0028,P055,male,46-55,20.0,national,False,director,junior,fixed_term,tv_series,False,private,small,BE,6.0,79,452.19,35723.01,99481.8,False,True
W0028,P007,male,46-55,20.0,national,False,director,senior,fixed_term,documentary,True,public,small,PL,7.0,22,571.9,12581.8,125818.0,True,False
W0029,P041,male,26-35,4.0,national,False,cinematographer,senior,fixed_term,tv_series,False,public,micro,PL,,70,,51095.1,,False,True
W0029,P054,male,26-35,4.0,national,False,cinematographer,senior,intermittent,documentary,False,private,micro,PL,3.0,45,,32914.35,160914.6,False,True
W0029,P018,male,26-35,,national,False,cinematographer,junior,fixed_term,short_film,False,public,large,DE,4.0,15,419.14,6287.1,92210.8,False,False
W0030,P047,male,26-35,7.0,national,False,cinematographer,senior,freelance_cache,tv_series,False,private,medium,DE,3.0,21,570.64,11983.44,125540.8,False,True
W0030,P013,male,26-35,7.0,national,False,sound_technician,junior,freelance_cache,advertising,False,private,micro,DE,,6,212.25,1273.5,46695.0,False,True
W0031,P037,male,46-55,30.0,non_EU,False,producer,mid,permanent,tv_series,False,private,micro,IT,7.0,64,727.27,46545.28,159999.4,True,True
W0031,P059,male,46-55,30.0,non_EU,False,producer,mid,fixed_term,short_film,False,private,medium,IT,7.0,24,793.99,19055.76,174677.8,False,True
W0031,P048,male,46-55,30.0,non_EU,False,producer,junior,freelance_cache,tv_series,False,private,medium,ES,7.0,67,519.37,34797.79,114261.4,True,True
W0031,P022,male,46-55,30.0,non_EU,False,editor,senior,fixed_term,feature_film,False,private,large,NL,6.0,86,475.19,40866.34,104541.8,False,True
W0031,P019,male,46-55,,non_EU,False,sound_technician,mid,permanent,feature_film,False,private,micro,PL,7.0,71,326.78,,71891.6,False,True
W0032,P058,female,56+,26.0,national,True,editor,junior,fixed_term,feature_film,False,private,micro,DE,1.0,72,216.36,,47599.2,True,True
W0032,P042,female,56+,26.0,national,True,editor,mid,fixed_term,advertising,False,public,small,ES,3.0,10,331.94,,73026.8,False,False
W0033,P028,male,46-55,16.0,EU_mobile,False,sound_technician,senior,freelance_cache,documentary,True,mixed,micro,DE,4.0,57,407.02,,89544.4,True,False
W0033,P010,male,46-55,16.0,EU_mobile,False,producer,mid,permanent,documentary,False,private,micro,FR,3.0,41,711.77,29182.57,156589.4,False,True
W0034,P016,female,46-55,26.0,national,False,editor,mid,fixed_term,feature_film,False,private,large,IT,6.0,63,404.42,25478.46,,False,False
W0034,P009,female,46-55,26.0,national,False,editor,senior,permanent,advertising,False,private,large,FR,5.0,7,,,97860.4,True,True
W0034,P021,female,46-55,26.0,national,False,editor,senior,freelance_cache,tv_series,False,public,micro,FR,6.0,61,391.65,23890.65,,True,True
W0034,P052,female,46-55,26.0,national,False,editor,lead,permanent,documentary,False,mixed,medium,NL,6.0,45,480.77,21634.65,105769.4,False,True
W0034,P035,female,46-55,26.0,national,False,editor,senior,intermittent,advertising,False,private,large,PT,4.0,19,426.02,,93724.4,True,False
W0035,P005,male,26-35,2.0,national,False,director,mid,fixed_term,advertising,False,private,small,ES,4.0,3,691.19,2073.57,,True,False
W0035,P047,male,26-35,2.0,national,False,director,junior,fixed_term,tv_series,False,private,medium,DE,5.0,74,453.08,33527.92,99677.6,True,True
W0035,P023,male,26-35,2.0,national,False,producer,senior,freelance_cache,feature_film,False,mixed,small,IT,3.0,87,874.4,76072.8,192368.0,True,True
W0036,P053,female,26-35,10.0,national,False,sound_technician,mid,intermittent,feature_film,False,private,micro,FR,4.0,86,220.83,,,False,True
W0036,P040,female,26-35,10.0,national,False,sound_technician,junior,intermittent,short_film,False,public,medium,DE,4.0,16,231.21,3699.36,50866.2,False,False
W0037,P023,male,46-55,,national,False,editor,mid,freelance_cache,feature_film,False,mixed,small,IT,3.0,43,,12678.55,64867.0,False,True
W0038,P006,female,26-35,10.0,national,True,director,mid,fixed_term,tv_series,False,private,micro,DE,3.0,34,472.75,,104005.0,False,True
W0038,P038,female,26-35,10.0,national,True,director,senior,freelance_cache,short_film,False,mixed,micro,PT,5.0,11,562.84,6191.24,123824.8,False,False
W0038,P033,female,26-35,10.0,national,True,director,senior,freelance_cache,documentary,True,public,small,NL,5.0,18,562.78,10130.04,,False,False
W0039,P005,male,36-45,13.0,EU_mobile,False,editor,senior,fixed_term,advertising,False,private,small,ES,6.0,4,448.19,1792.76,98601.8,False,True
W0039,P058,male,36-45,13.0,EU_mobile,False,director,senior,freelance_cache,feature_film,False,private,micro,DE,5.0,79,,,180116.2,True,True
W0039,P060,male,36-45,13.0,EU_mobile,False,editor,mid,freelance_cache,advertising,False,mixed,medium,SE,6.0,11,332.24,3654.64,73092.8,False,True
W0039,P014,male,36-45,13.0,EU_mobile,False,cinematographer,senior,fixed_term,short_film,False,private,large,RO,4.0,21,775.64,16288.44,170640.8,False,False
W0039,P029,male,36-45,13.0,EU_mobile,False,editor,lead,fixed_term,documentary,False,public,medium,BE,4.0,26,522.28,13579.28,,False,False
W0040,P054,female,26-35,3.0,non_EU,False,sound_technician,lead,freelance_cache,documentary,False,private,micro,PL,4.0,45,400.99,,,False,False
W0040,P011,female,26-35,3.0,non_EU,False,sound_technician,lead,fixed_term,tv_series,False,public,medium,NL,2.0,41,,,91592.6,False,True
W0040,P052,female,26-35,,non_EU,False,sound_technician,junior,intermittent,documentary,False,mixed,medium,NL,2.0,59,222.74,13141.66,,False,True
W0041,P036,male,36-45,12.0,national,False,screenwriter,junior,freelance_cache,feature_film,True,public,micro,FR,5.0,51,321.8,16411.8,70796.0,True,True
W0041,P027,male,36-45,12.0,national,False,screenwriter,mid,freelance_cache,feature_film,False,mixed,small,IT,6.0,84,,,105668.2,False,True
W0041,P034,male,36-45,12.0,national,False,screenwriter,senior,freelance_cache,advertising,False,public,micro,FR,3.0,6,421.53,,92736.6,False,True
W0041,P065,male,36-45,12.0,national,False,screenwriter,senior,fixed_term,advertising,False,private,micro,DE,6.0,16,519.63,8314.08,114318.6,False,True
W0042,P015,male,36-45,20.0,national,False,director,junior,intermittent,advertising,False,private,small,SE,4.0,10,565.4,5654.0,124388.0,False,False
W0042,P003,male,36-45,20.0,national,False,director,senior,intermittent,documentary,False,public,small,BE,1.0,43,,,,True,False
W0043,P044,male,36-45,,EU_mobile,False,producer,senior,intermittent,documentary,True,private,small,DE,,60,940.46,56427.6,206901.2,False,True
W0043,P029,male,36-45,10.0,EU_mobile,False,producer,mid,fixed_term,documentary,False,public,medium,BE,3.0,44,794.83,34972.52,174862.6,True,True
W0043,P006,male,36-45,10.0,EU_mobile,False,producer,senior,freelance_cache,tv_series,False,private,micro,DE,5.0,41,845.84,34679.44,,False,True
W0043,P032,male,36-45,10.0,EU_mobile,False,producer,senior,intermittent,tv_series,False,private,small,DE,6.0,70,1030.14,72109.8,226630.8,False,True
W0044,P022,female,26-35,10.0,EU_mobile,False,sound_technician,junior,freelance_cache,feature_film,False,private,large,NL,3.0,67,183.55,,40381.0,False,False
W0044,P044,female,26-35,,EU_mobile,False,sound_technician,junior,permanent,documentary,True,private,small,DE,6.0,24,209.71,,46136.2,True,True
W0044,P034,female,26-35,10.0,EU_mobile,False,sound_technician,mid,freelance_cache,advertising,False,public,micro,FR,,7,,2077.74,65300.4,False,False
W0044,P049,female,26-35,10.0,EU_mobile,False,sound_technician,lead,intermittent,tv_series,False,private,medium,FR,5.0,76,440.52,33479.52,96914.4,False,False
W0045,P033,male,36-45,,national,False,screenwriter,senior,freelance_cache,documentary,True,public,small,NL,5.0,36,504.01,18144.36,110882.2,False,True
W0045,P009,male,36-45,20.0,national,False,screenwriter,mid,freelance_cache,advertising,False,private,large,FR,6.0,3,,1449.57,106301.8,False,True
W0045,P047,male,36-45,20.0,national,False,screenwriter,senior,fixed_term,tv_series,False,private,medium,DE,4.0,34,,17323.34,112092.2,False,False
W0045,P015,male,36-45,20.0,national,False,screenwriter,lead,freelance_cache,advertising,False,private,small,SE,6.0,8,,5408.08,148722.2,False,True
W0046,P034,male,36-45,19.0,EU_mobile,False,producer,junior,fixed_term,advertising,False,public,micro,FR,5.0,14,526.72,7374.08,115878.4,True,True
W0046,P026,male,36-45,19.0,EU_mobile,False,producer,junior,fixed_term,advertising,False,public,medium,FR,3.0,19,539.46,10249.74,118681.2,True,True
W0046,P014,male,36-45,19.0,EU_mobile,False,producer,junior,fixed_term,short_film,False,private,large,RO,3.0,9,620.92,5588.28,136602.4,True,True
W0046,P044,male,36-45,19.0,EU_mobile,False,producer,junior,intermittent,documentary,True,private,small,DE,,33,576.53,19025.49,126836.6,True,False
W0047,P036,female,46-55,28.0,national,True,screenwriter,lead,fixed_term,feature_film,True,public,micro,FR,3.0,90,460.05,41404.5,,False,True
W0047,P042,female,46-55,28.0,national,True,screenwriter,lead,fixed_term,advertising,False,public,small,ES,3.0,19,478.42,9089.98,105252.4,False,True
W0047,P040,female,46-55,28.0,national,True,screenwriter,senior,fixed_term,short_film,False,public,medium,DE,,24,383.99,,84477.8,False,True
W0048,P054,male,46-55,28.0,national,False,director,lead,permanent,documentary,False,private,micro,PL,1.0,55,868.47,,,True,True
W0048,P010,male,46-55,28.0,national,False,composer,senior,fixed_term,documentary,False,private,micro,FR,,30,511.97,15359.1,,True,True
W0049,P045,female,26-35,7.0,national,True,art_technician,mid,permanent,feature_film,False,private,small,SE,6.0,49,198.77,,43729.4,False,False
W0049,P060,female,26-35,,national,True,art_technician,mid,fixed_term,advertising,False,mixed,medium,SE,6.0,6,275.52,1653.12,,False,False
W0049,P056,female,26-35,7.0,national,True,art_technician,junior,intermittent,short_film,False,private,small,FR,5.0,8,198.18,1585.44,,False,True
W0049,P044,female,26-35,7.0,national,True,art_technician,lead,freelance_cache,documentary,True,private,small,DE,3.0,15,,5464.5,80146.0,True,True
W0050,P035,female,18-25,0.0,national,False,director,mid,freelance_cache,advertising,False,private,large,PT,4.0,7,497.41,3481.87,109430.2,False,False
W0050,P022,female,18-25,0.0,national,False,director,senior,freelance_cache,feature_film,False,private,large,NL,7.0,67,422.89,28333.63,93035.8,True,True
W0050,P016,female,18-25,0.0,national,False,director,junior,fixed_term,feature_film,False,private,large,IT,4.0,60,331.34,19880.4,72894.8,True,True
W0050,P058,female,18-25,0.0,national,False,director,senior,fixed_term,feature_film,False,private,micro,DE,6.0,85,559.68,47572.8,123129.6,False,False
W0050,P021,female,18-25,,national,False,director,lead,fixed_term,tv_series,False,public,micro,FR,,57,598.4,34108.8,131648.0,True,False
W0051,P006,female,36-45,17.0,EU_mobile,True,producer,mid,intermittent,tv_series,False,private,micro,DE,7.0,24,609.11,14618.64,134004.2,False,True
W0051,P050,female,36-45,17.0,EU_mobile,True,director,mid,fixed_term,feature_film,False,private,large,NL,4.0,73,405.85,29627.05,89287.0,False,True
W0051,P005,female,36-45,17.0,EU_mobile,True,producer,junior,fixed_term,advertising,False,private,small,ES,5.0,13,,7402.46,125272.4,False,True
W0051,P043,female,36-45,17.0,EU_mobile,True,producer,mid,fixed_term,tv_series,False,mixed,small,ES,7.0,68,679.56,46210.08,149503.2,False,True
W0051,P025,female,36-45,17.0,EU_mobile,True,producer,senior,fixed_term,feature_film,False,private,micro,SE,5.0,30,,20525.4,,False,True
W0052,P048,female,26-35,9.0,national,False,screenwriter,senior,intermittent,tv_series,False,private,medium,ES,1.0,68,431.63,29350.84,94958.6,True,True
W0052,P014,female,26-35,,national,False,screenwriter,senior,freelance_cache,short_film,False,private,large,RO,3.0,14,444.71,6225.94,97836.2,False,True
W0053,P038,male,36-45,19.0,EU_mobile,False,director,mid,fixed_term,short_film,False,mixed,micro,PT,4.0,23,544.98,12534.54,119895.6,False,True
W0053,P052,male,36-45,19.0,EU_mobile,False,sound_technician,lead,intermittent,documentary,False,mixed,medium,NL,6.0,15,428.71,6430.65,94316.2,False,True
W0053,P029,male,36-45,19.0,EU_mobile,False,director,junior,freelance_cache,documentary,False,public,medium,BE,6.0,27,475.11,,104524.2,False,True
W0053,P015,male,36-45,19.0,EU_mobile,False,director,mid,intermittent,advertising,False,private,small,SE,6.0,6,493.23,2959.38,108510.6,False,True
W0054,P004,female,46-55,16.0,non_EU,False,art_technician,mid,fixed_term,documentary,False,private,large,IT,1.0,22,292.66,,64385.2,True,False
W0055,P019,male,36-45,16.0,national,False,sound_technician,senior,fixed_term,feature_film,False,private,micro,PL,3.0,71,396.61,28159.31,87254.2,False,True
W0055,P045,male,36-45,16.0,national,False,sound_technician,mid,freelance_cache,feature_film,False,private,small,SE,5.0,73,,20616.66,,False,True
W0055,P049,male,36-45,16.0,national,False,sound_technician,mid,fixed_term,tv_series,False,private,medium,FR,3.0,36,354.13,12748.68,77908.6,True,True
W0056,P035,male,36-45,18.0,national,False,producer,lead,fixed_term,advertising,False,private,large,PT,2.0,15,1167.03,17505.45,256746.6,False,False
W0056,P009,male,36-45,18.0,national,False,editor,senior,fixed_term,advertising,False,private,large,FR,3.0,3,458.32,1374.96,,False,True
W0056,P017,male,36-45,18.0,national,False,editor,senior,freelance_cache,tv_series,False,private,micro,ES,4.0,24,,11876.88,,True,True
W0057,P039,female,36-45,10.0,national,False,screenwriter,junior,fixed_term,feature_film,False,private,small,PT,2.0,51,292.15,14899.65,64273.0,True,False
W0057,P011,female,36-45,10.0,national,False,art_technician,junior,freelance_cache,tv_series,False,public,medium,NL,1.0,39,245.08,9558.12,53917.6,False,True
W0058,P012,male,26-35,5.0,national,False,producer,lead,freelance_cache,tv_series,False,public,micro,NL,4.0,40,1125.56,,247623.2,True,True
W0058,P005,male,26-35,,national,False,producer,lead,fixed_term,advertising,False,private,small,ES,5.0,17,959.13,16305.21,211008.6,True,True
W0058,P040,male,26-35,5.0,national,False,producer,lead,fixed_term,short_film,False,public,medium,DE,5.0,17,974.39,16564.63,214365.8,True,True
W0058,P052,male,26-35,,national,False,producer,senior,fixed_term,documentary,False,mixed,medium,NL,6.0,26,926.37,24085.62,203801.4,True,False
W0058,P034,male,26-35,5.0,national,False,producer,lead,intermittent,advertising,False,public,micro,FR,6.0,16,1113.78,17820.48,245031.6,True,True
W0059,P008,male,36-45,18.0,national,False,art_technician,senior,fixed_term,feature_film,False,mixed,medium,DE,4.0,72,461.06,33196.32,101433.2,True,True
W0059,P064,male,36-45,18.0,national,False,art_technician,senior,freelance_cache,advertising,False,private,small,DE,7.0,8,416.66,3333.28,91665.2,True,False
W0059,P004,male,36-45,18.0,national,False,art_technician,senior,freelance_cache,documentary,False,private,large,IT,5.0,46,326.33,,71792.6,True,True
W0059,P014,male,36-45,18.0,national,False,art_technician,junior,intermittent,short_film,False,private,large,RO,6.0,7,244.87,1714.09,53871.4,False,True
W0059,P015,male,36-45,18.0,national,False,art_technician,lead,fixed_term,advertising,False,private,small,SE,5.0,19,370.53,,81516.6,False,True
W0060,P053,male,36-45,12.0,national,False,editor,lead,freelance_cache,feature_film,False,private,micro,FR,1.0,55,,,,True,False
